approach,system,steps,min_total_core,max_total_core,resources,classes,sla
BNV1-0.5,system_38,58,76.0,76.0,10,12,300.0
BNV2-2.0,system_38,19,71.5,74.0,10,12,300.0
BNV2-4.0,system_38,12,71.8,82.0,10,12,300.0
BNV2-1.0,system_38,39,72.1,76.0,10,12,300.0
AMPL,system_38,0,64.09,0,10,12,300.0
BNV1-4.0,system_39,4,90.0,90.0,10,12,300.0
BNV1-2.0,system_39,8,70.0,70.0,10,12,300.0
BNV1-1.0,system_39,19,68.0,68.0,10,12,300.0
BNV1-0.5,system_39,38,67.5,67.5,10,12,300.0
BNV2-2.0,system_39,10,68.0,68.0,10,12,300.0
BNV2-4.0,system_39,7,76.0,82.0,10,12,300.0
BNV2-1.0,system_39,26,66.3,68.0,10,12,300.0
AMPL,system_39,0,64.39,0,10,12,300.0
BNV1-4.0,system_40,4,90.0,90.0,10,12,300.0
BNV1-2.0,system_40,8,70.0,70.0,10,12,300.0
BNV1-1.0,system_40,19,68.0,68.0,10,12,300.0
BNV1-0.5,system_40,38,67.5,67.6,10,12,300.0
BNV2-2.0,system_40,10,68.0,68.0,10,12,300.0
BNV2-4.0,system_40,7,76.0,82.0,10,12,300.0
BNV2-1.0,system_40,26,66.3,68.0,10,12,300.0
AMPL,system_40,0,64.39,0,10,12,300.0
BNV1-4.0,system_41,3,98.0,98.0,10,12,300.0
BNV1-2.0,system_41,7,74.0,74.0,10,12,300.0
BNV1-1.0,system_41,15,69.0,69.0,10,12,300.0
BNV1-0.5,system_41,37,67.6,67.6,10,12,300.0
BNV2-2.0,system_41,13,66.4,70.0,10,12,300.0
BNV2-4.0,system_41,6,69.0,78.0,10,12,300.0
BNV2-1.0,system_41,28,65.2,69.0,10,12,300.0
AMPL,system_41,0,58.02,0,10,12,300.0
BNV1-4.0,system_42,8,122.0,122.0,10,12,300.0
BNV1-2.0,system_42,19,98.0,98.0,10,12,300.0
BNV1-1.0,system_42,37,85.0,85.0,10,12,300.0
BNV1-0.5,system_42,75,83.7,83.7,10,12,300.0
BNV2-2.0,system_42,29,78.9,88.0,10,12,300.0
BNV2-4.0,system_42,18,85.0,102.0,10,12,300.0
BNV2-1.0,system_42,45,79.9,84.0,10,12,300.0
AMPL,system_42,0,69.60,0,10,12,300.0
BNV1-4.0,system_43,8,122.0,122.0,10,12,300.0
BNV1-2.0,system_43,19,98.0,98.0,10,12,300.0
BNV1-1.0,system_43,37,85.0,85.0,10,12,300.0
BNV1-0.5,system_43,75,83.7,83.7,10,12,300.0
BNV2-2.0,system_43,29,78.9,88.0,10,12,300.0
BNV2-4.0,system_43,18,85.0,102.0,10,12,300.0
BNV2-1.0,system_43,45,79.9,84.0,10,12,300.0
AMPL,system_43,0,69.60,0,10,12,300.0
BNV1-4.0,system_44,4,98.0,98.0,10,12,300.0
BNV1-2.0,system_44,12,76.0,76.0,10,12,300.0
BNV1-1.0,system_44,29,77.0,77.0,10,12,300.0
BNV1-0.5,system_44,56,74.9,74.9,10,12,300.0
BNV2-2.0,system_44,22,73.7,78.0,10,12,300.0
BNV2-4.0,system_44,14,72.8,86.0,10,12,300.0
BNV2-1.0,system_44,36,72.1,76.0,10,12,300.0
